ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
Coca-Cola Zero Sugar (Large) No Ice	0	0	0	0	0	100	0	0	0	0
Coca-Cola (Medium) No Ice	270	0	0	0	0	60	70	0	70	0
Diet Dr Pepper (Medium ) No Ice	0	0	0	0	0	125	0	0	0	0
Dr Pepper (Small) No Ice	190	0	0	0	0	60	52	0	51	0
Minute Maid Strawberry Punch (Medium) No Ice	280	0	0	0	0	90	75	0	73	0
Minute Maid Strawberry Punch (Medium)	220	0	0	0	0	70	61	0	59	0
Minute Maid Lemonade (Large) No Ice	360	0	0	0	0	240	95	0	90	0
Minute Maid Lemonade (Large)	270	0	0	0	0	180	72	0	69	0
Orange Crush (Small)	160	0	0	0	0	50	43	0	42	0
Orange Crush (Small) No Ice	220	0	0	0	0	65	59	0	58	0
Fanta Strawberry (Extra Small)	130	0	0	0	0	40	33	0	33	0
Fanta Strawberry (Extra Small) No Ice	170	0	0	0	0	55	45	0	44	0
Sprite (Medium) No Ice	260	0	0	0	0	120	68	0	67	0
Blue Raspberry ICEE (Medium)	170	0	0	0	0	80	44	0	44	0
Minute Maid Orange Juice (Medium)	200	0	0	0	0	0	45	0	41	3
Minute Maid Light Lemonade (Medium)	10	0	0	0	0	60	3	0	0	0
Minute Maid Light Lemonade (Medium) No Ice	10	0	0	0	0	75	3	0	0	0
POWERADE Mountain Berry Blast (Medium) No Ice	150	0	0	0	0	200	38	0	38	0
Fanta Grape (Extra Small)	130	0	0	0	0	40	33	0	33	0
Fanta Grape (Extra Small) No Ice	170	0	0	0	0	55	44	0	43	0
Coke ICEE (Medium)	170	0	0	0	0	70	47	0	47	0
Coca-Cola (Large) No Ice	380	0	0	0	0	90	100	0	100	0
Diet Dr Pepper (Small) No Ice	0	0	0	0	0	95	0	0	0	0
FUZE Raspberry Tea (Extra Small)	70	0	0	0	0	40	17	0	17	0
FUZE Raspberry Tea (Extra Small) No Ice	90	0	0	0	0	50	23	0	22	0
Wild Cherry ICEE (Small)	130	0	0	0	0	60	34	0	34	0
Minute Maid Lemonade (Medium) No Ice	250	0	0	0	0	170	66	0	63	0
Minute Maid Lemonade (Medium)	200	0	0	0	0	135	54	0	51	0
Iced Tea (Gallon)	40	0	0	0	0	75	0	0	0	5
Minute Maid Strawberry Punch (Large) No Ice	400	0	0	0	0	125	108	0	104	0
Minute Maid Strawberry Punch (Large)	300	0	0	0	0	95	83	0	80	0
One-percent Low Fat Milk Jug California	130	2.5	1.5	0	15	160	16	0	15	11
POWERADE Mountain Berry Blast (Extra Small) No Ice	90	0	0	0	0	110	22	0	22	0
Mello Yello (Extra Small)	120	0	0	0	0	40	33	0	33	0
Mello Yello (Extra Small) No Ice	160	0	0	0	0	50	44	0	44	0
Fanta Fruit Punch (Large) No Ice	400	0	0	0	0	150	104	0	102	0
Fanta Fruit Punch (Large)	300	0	0	0	0	110	80	0	78	0
Mello Yello (Small)	160	0	0	0	0	50	44	0	44	0
Mello Yello (Small) No Ice	220	0	0	0	0	65	58	0	58	0
Fanta Fruit Punch (Small) No Ice	210	0	0	0	0	80	55	0	55	0
Fanta Fruit Punch (Small)	160	0	0	0	0	60	42	0	41	0
Red Flash (Small) No Ice	210	0	0	0	0	55	55	0	55	0
Mello Yello (Medium) No Ice	290	0	0	0	0	90	76	0	76	0
Mello Yello (Medium)	230	0	0	0	0	70	62	0	62	0
Minute Maid Fruit Punch (Extra Small) No Ice	160	0	0	0	0	50	43	0	42	0
Minute Maid Strawberry Punch (Extra Small)	120	0	0	0	0	40	32	0	31	0
Fanta Fruit Punch (Extra Small) No Ice	160	0	0	0	0	60	42	0	41	0
Diet Coke (Extra Small) No Ice	0	0	0	0	0	50	0	0	0	0
Fanta Fruit Punch (Extra Small)	120	0	0	0	0	45	31	0	31	0
Fanta Strawberry (Medium) No Ice	300	0	0	0	0	95	78	0	77	0
Fanta Strawberry (Medium)	240	0	0	0	0	75	63	0	63	0
Caffeine Free Diet Coke (Small)	0	0	0	0	0	50	0	0	0	0
Caffeine Free Diet Coke (Small) No Ice	0	0	0	0	0	65	0	0	0	0
Coke ICEE (Small)	130	0	0	0	0	55	35	0	35	0
Fanta Fruit Punch (Medium)	230	0	0	0	0	80	59	0	58	0
Fanta Fruit Punch (Medium) No Ice	280	0	0	0	0	100	73	0	72	0
Sprite Zero (Medium) No Ice	5	0	0	0	0	80	0	0	0	0
Sprite Zero (Medium)	0	0	0	0	0	65	0	0	0	0
POWERADE Mountain Berry Blast (Large) No Ice	220	0	0	0	0	280	55	0	55	0
Sprite Zero (Small) No Ice	0	0	0	0	0	60	0	0	0	0
Sprite Zero (Small)	0	0	0	0	0	45	0	0	0	0
Fanta Strawberry (Large) No Ice	430	0	0	0	0	135	112	0	110	0
Fanta Strawberry (Large)	90	0	0	0	0	20	26	0	26	0
Barq's Root Beer (Medium)	240	0	0	0	0	75	62	0	62	0
Barq's Root Beer (Medium) No Ice	290	0	0	0	0	95	76	0	76	0
Wild Cherry ICEE (Medium)	180	0	0	0	0	80	45	0	45	0
Vitamin Water XXX Zero (Large)	0	0	0	0	0	75	0	0	0	0
Diet Dr Pepper (Extra Small) No Ice	0	0	0	0	0	70	0	0	0	0
Orange Crush (Medium) No Ice	290	0	0	0	0	80	77	0	76	0
Orange Crush (Medium)	230	0	0	0	0	70	61	0	60	0
Coca-Cola (Extra Small) No Ice	150	0	0	0	0	35	40	0	40	0
FUZE Raspberry Tea (Medium)	120	0	0	0	0	70	32	0	31	0
FUZE Raspberry Tea (Medium) No Ice	150	0	0	0	0	90	40	0	39	0
POWERADE Mountain Berry Blast (Small) No Ice	120	0	0	0	0	150	29	0	29	0
Sprite (Extra Small) No Ice	150	0	0	0	0	70	39	0	38	0
Coca-Cola Zero Sugar (Small) No Ice	0	0	0	0	0	55	0	0	0	0
Red Flash (Medium) No Ice	280	0	0	0	0	70	72	0	72	0
Minute Maid Light Lemonade (Extra Small)	0	0	0	0	0	30	0	0	0	0
Minute Maid Light Lemonade (Extra Small) No Ice	5	0	0	0	0	45	2	0	0	0
Dr Pepper (Extra Small) No Ice	140	0	0	0	0	45	39	0	38	0
Coca-Cola Zero Sugar (Medium) No Ice	0	0	0	0	0	70	0	0	0	0
Coca-Cola (Small) No Ice	200	0	0	0	0	50	53	0	53	0
Caffeine Free Diet Coke (Extra Small)	0	0	0	0	0	35	0	0	0	0
Caffeine Free Diet Coke (Extra Small) No Ice	0	0	0	0	0	50	0	0	0	0
Minute Maid Light Lemonade (Large)	15	0	0	0	0	80	4	0	0	0
Minute Maid Light Lemonade (Large) No Ice	15	0	0	0	0	105	5	0	0	0
Caffeine Free Diet Coke (Medium)	0	0	0	0	0	70	0	0	0	0
Caffeine Free Diet Coke (Medium) No Ice	0	0	0	0	0	85	0	0	0	0
FUZE Raspberry Tea (Large) No Ice	220	0	0	0	0	125	57	0	55	0
FUZE Raspberry Tea (Large)	170	0	0	0	0	95	44	0	43	0
Sprite (Small) No Ice	200	0	0	0	0	90	51	0	51	0
Mello Yello (Large) No Ice	410	0	0	0	0	125	109	0	109	0
Mello Yello (Large)	310	0	0	0	0	95	83	0	83	0
Barq's Root Beer (Extra Small)	130	0	0	0	0	40	33	0	33	0
Barq's Root Beer (Extra Small) No Ice	170	0	0	0	0	55	44	0	44	0
Minute Maid Orange Juice (Value)	110	0	0	0	0	0	27	0	24	2
Diet Coke (Medium) No Ice	0	0	0	0	0	85	0	0	0	0
Coke ICEE (Large)	240	0	0	0	0	100	67	0	67	0
Wild Cherry ICEE (Large)	250	0	0	0	0	115	64	0	64	0
Blue Raspberry ICEE (Large)	240	0	0	0	0	115	63	0	63	0
Vernor's Ginger Ale (Medium)	200	0	0	0	0	65	55	0	54	0
Vernor's Ginger Ale (Medium) No Ice	250	0	0	0	0	85	68	0	67	0
Vernor's Ginger Ale (Extra Small) No Ice	140	0	0	0	0	45	39	0	38	0
Vernor's Ginger Ale (Extra Small)	100	0	0	0	0	35	27	0	27	0
Vernor's Ginger Ale (Small)	140	0	0	0	0	45	38	0	37	0
Vernor's Ginger Ale (Small) No Ice	190	0	0	0	0	65	52	0	51	0
Vernor's Ginger Ale (Large)	280	0	0	0	0	90	75	0	74	0
Vernor's Ginger Ale (Large) No Ice	360	0	0	0	0	120	97	0	96	0
Frozen Fanta Blue Raspberry (Medium)	130	0	0	0	0	60	34	0	34	0
Frozen Fanta Blue Raspberry (Small)	90	0	0	0	0	45	25	0	25	0
Frozen Fanta Blue Raspberry (Large)	170	0	0	0	0	85	46	0	46	0
Hot Tea (Large)	5	0	0	0	0	15	2	0	0	0
Hot Tea (Small)	0	0	0	0	0	10	1	0	0	0
Southern Style Sweet Tea (Extra Small)	80	0	0	0	0	10	20	0	20	0
Sweet Tea (Extra Small) No Ice	110	0	0	0	0	10	28	0	28	0
Southern Style Sweet Tea (Small)	110	0	0	0	0	15	27	0	27	0
Southern Style Sweet Tea (Large)	200	0	0	0	0	30	50	0	50	1
Southern Style Sweet Tea (Medium)	150	0	0	0	0	20	36	0	36	0
Sweet Tea (Small) No Ice	170	0	0	0	0	15	42	0	42	1
Sweet Tea (Medium) No Ice	200	0	0	0	0	20	49	0	49	1
Southern Style Sweet Tea (Gallon)	2110	0	0	0	0	140	521	0	521	4
Cherry Coca-Cola (Medium)	230	0	0	0	0	60	59	0	59	0
Cherry Coca-Cola (Extra Small) No Ice	160	0	0	0	0	40	42	0	42	0
Cherry Coca-Cola (Extra Small)	120	0	0	0	0	30	31	0	31	0
Cherry Coca-Cola (Medium) No Ice	280	0	0	0	0	70	73	0	73	0
Cherry Coke (Small) No Ice	210	0	0	0	0	55	56	0	56	0
Cherry Coca-Cola (Small)	160	0	0	0	0	40	42	0	42	0
Cherry Coca-Cola (Large) No Ice	400	0	0	0	0	105	105	0	105	0
Cherry Coca-Cola (Large)	310	0	0	0	0	80	80	0	80	0
Mr. Pibb Xtra (Large)	290	0	0	0	0	45	79	0	79	0
Mr. Pibb Xtra (Large) No Ice	350	0	0	0	0	50	94	0	94	0
Mr. Pibb Xtra (Extra Small) No Ice	140	0	0	0	0	20	38	0	38	0
Mr. Pibb Xtra (Extra Small)	120	0	0	0	0	20	32	0	32	0
Mr. Pibb Xtra (Small)	170	0	0	0	0	25	45	0	45	0
Mr. Pibb Xtra (Small) No Ice	210	0	0	0	0	30	57	0	57	0
Mr. Pibb Xtra (Medium)	210	0	0	0	0	35	58	0	58	0
Mr. Pibb Xtra (Medium) No Ice	250	0	0	0	0	35	67	0	67	0
Frozen Fanta Wild Cherry (Small)	90	0	0	0	0	45	24	0	24	0
Frozen Fanta Wild Cherry (Medium)	130	0	0	0	0	60	34	0	34	0
Frozen Fanta Wild Cherry (Large)	170	0	0	0	0	80	45	0	45	0
Pepsi (Extra Small)	110	0	0	0	0	25	29	0	29	0
Diet Pepsi (Extra Small)	0	0	0	0	0	40	0	0	0	0
Mist Twist (Extra Small)	110	0	0	0	0	25	28	0	28	0
Diet Pepsi (Large) No Ice	0	0	0	0	0	140	0	0	0	0
Pepsi (Medium)	220	0	0	0	0	45	59	0	58	0
Pepsi (Medium) No Ice	270	0	0	0	0	55	73	0	72	0
Diet Pepsi (Small) No Ice	0	0	0	0	0	75	0	0	0	0
Diet Pepsi (Small)	0	0	0	0	0	55	0	0	0	0
Pepsi (Large) No Ice	380	0	0	0	0	80	104	0	103	0
Pepsi (Large)	290	0	0	0	0	60	79	0	79	0
Diet Pepsi (Medium) No Ice	0	0	0	0	0	100	0	0	0	0
Pepsi (Small)	150	0	0	0	0	30	40	0	40	0
Diet Pepsi (Medium)	0	0	0	0	0	80	0	0	0	0
Pepsi (Small) No Ice	200	0	0	0	0	45	55	0	55	0
Pepsi (Extra Small) No Ice	150	0	0	0	0	30	41	0	41	0
Diet Pepsi (Extra Small) No Ice	0	0	0	0	0	55	0	0	0	0
Mist Twist (Medium)	220	0	0	0	0	45	57	0	57	0
Mist Twist (Medium) No Ice	270	0	0	0	0	60	71	0	71	0
Mist Twist (Large) No Ice	380	0	0	0	0	80	101	0	101	0
Mist Twist (Large)	290	0	0	0	0	65	78	0	78	0
Mist Twist (Small)	150	0	0	0	0	30	39	0	39	0
Mist Twist (Small) No Ice	200	0	0	0	0	45	54	0	54	0
Mist Twist (Extra Small) No Ice	150	0	0	0	0	35	41	0	41	0
Tropicana Pink Lemonade (Large) No Ice	110	0	0	0	0	110	28	0	28	0
Tropicana Pink Lemonade (Medium) No Ice	270	0	0	0	0	270	70	0	70	0
Tropicana Pink Lemonade (Medium)	220	0	0	0	0	220	56	0	56	0
Tropicana Pink Lemonade (Large)	300	0	0	0	0	300	77	0	77	0
Tropicana Pink Lemonade (Small)	150	0	0	0	0	150	39	0	39	0
Tropicana Pink Lemonade (Small) No Ice	60	0	0	0	0	60	15	0	15	0
Vitamin Water XXX Zero (Medium) No Ice	0	0	0	0	0	70	0	0	0	0
Southern Style Sweet Tea (Extra Small) No Ice	150	0	0	0	0	10	37	0	37	0
Vitamin Water XXX Zero (Small) No Ice	0	0	0	0	0	55	0	0	0	0
Southern Style Sweet Tea (Small) No Ice	230	0	0	0	0	15	56	0	56	1
Southern Style Sweet Tea (Medium) No Ice	270	0	0	0	0	20	66	0	66	1
Vitamin Water XXX Zero (Large) No Ice	5	0	0	0	0	100	1	0	0	0
Sweet Tea (Large) No Ice	560	0	0	0	0	35	141	0	141	0
Vitamin Water XXX Zero (Extra Small) No Ice	0	0	0	0	0	40	0	0	0	0
Minute Maid Lemonade (Extra Small) No Ice	40	0	0	0	0	25	12	0	11	0
Mountain Dew (Medium)	230	0	0	0	0	75	61	0	61	0
Mountain Dew (Medium) No Ice	80	0	0	0	0	25	22	0	22	0
Mountain Dew (Large) No Ice	410	0	0	0	0	125	110	0	109	0
Mountain Dew (Large)	310	0	0	0	0	100	84	0	84	0
Mountain Dew (Extra Small)	110	0	0	0	0	40	31	0	31	0
Mountain Dew (Extra Small) No Ice	160	0	0	0	0	50	44	0	44	0
Mountain Dew (Small)	160	0	0	0	0	50	42	0	42	0
Mountain Dew (Small) No Ice	220	0	0	0	0	70	59	0	58	0
Hawaiian Punch Fruit Juicy Red (Medium)	240	0	0	0	0	75	64	0	63	0
Hawaiian Punch Fruit Juicy Red (Medium) No Ice	300	0	0	0	0	95	79	0	78	0
Diet Pepsi (Large)	0	0	0	0	0	110	1	0	0	0
Tropicana Pink Lemonade (Extra Small) No Ice	150	0	0	0	0	160	40	0	40	0
Tropicana Pink Lemonade (Extra Small)	30	0	0	0	0	30	8	0	8	0
Hawaiian Punch Fruit Juicy Red (Large)	320	0	0	0	0	105	86	0	85	0
Hawaiian Punch Fruit Juicy Red (Large) No Ice	420	0	0	0	0	135	113	0	111	0
Hawaiian Punch Fruit Juicy Red (Extra Small)	120	0	0	0	0	40	32	0	31	0
Hawaiian Punch Fruit Juicy Red (Extra Small) No Ice	170	0	0	0	0	55	45	0	44	0
Hawaiian Punch Fruit Juicy Red (Small)	160	0	0	0	0	50	44	0	43	0
Hawaiian Punch Fruit Juicy Red (Small) No Ice	230	0	0	0	0	70	60	0	59	0
Barq's Caffeine Free Root Beer (Medium) No Ice	290	0	0	0	0	120	76	0	76	0
Barq's Caffeine Free Root Beer (Medium)	240	0	0	0	0	95	62	0	61	0
Barq's Caffeine Free Root Beer (Small)	170	0	0	0	0	70	44	0	43	0
Barq's Caffeine Free Root Beer (Small) No Ice	220	0	0	0	0	90	58	0	58	0
Barq's Caffeine Free Root Beer (Large)	320	0	0	0	0	130	83	0	83	0
Barq's Caffeine Free Root Beer (Large) No Ice	420	0	0	0	0	170	109	0	108	0
Barq's Caffeine Free Root Beer (Extra Small)	120	0	0	0	0	50	33	0	33	0
Barq's Caffeine Free Root Beer (Extra Small) No Ice	170	0	0	0	0	70	44	0	43	0
DO NOT USE Fanta Orange (Small) No Ice	220	0	0	0	0	55	58	0	57	0
DO NOT USE Fanta Orange (Extra Small) No Ice	170	0	0	0	0	40	44	0	43	0
Minute Maid Orangeade Slushie (Medium)	230	0	0	0	0	30	60	0	59	0
Minute Maid Cherry Limeade Slushie (Medium)	250	0	0	0	0	20	67	0	64	0
Minute Maid Fruit Punch Slushie (Large)	300	0	0	0	0	35	79	0	77	0
Minute Maid Fruit Punch Slushie (Medium)	220	0	0	0	0	25	57	0	55	0
Minute Maid Fruit Punch Slushie (Small)	170	0	0	0	0	20	44	0	43	0
Minute Maid Orangeade Slushie (Large)	320	0	0	0	0	40	84	0	82	0
Minute Maid Orangeade Slushie (Small)	180	0	0	0	0	20	47	0	46	0
Minute Maid Cherry Limeade Slushie (Large)	340	0	0	0	0	30	94	0	90	0
Minute Maid Cherry Limeade Slushie (Small)	190	0	0	0	0	15	52	0	50	0
Hot Tea (Medium)	5	0	0	0	0	15	2	0	0	0
MIX by Sprite™ Tropic Berry (Large)	70	0	0	0	0	40	20	0	20	0
MIX by Sprite™ Tropic Berry (Large) No Ice	100	0	0	0	0	50	26	0	26	0
MIX by Sprite™ Tropic Berry (Small)	40	0	0	0	0	20	10	0	10	0
MIX by Sprite™ Tropic Berry (Small) No Ice	50	0	0	0	0	25	14	0	14	0
MIX by Sprite™ Tropic Berry (Extra Small)	30	0	0	0	0	15	8	0	8	0
MIX by Sprite™ Tropic Berry (Extra Small) No Ice	40	0	0	0	0	20	10	0	10	0
MIX by Sprite™ Tropic Berry (Medium)	60	0	0	0	0	30	14	0	15	0
MIX by Sprite™ Tropic Berry (Medium) No Ice	70	0	0	0	0	35	18	0	18	0
Honest Kids Appley Ever After (Box 6 fl oz Drink Box)	35	0	0	0	0	10	9	0	8	0
Minute Maid Blue Raspberry Slushie (Large)	340	0	0	0	0	25	91	0	88	0
Minute Maid Blue Raspberry Slushie (Small)	190	0	0	0	0	15	51	0	49	0
Minute Maid Blue Raspberry Slushie (Medium)	240	0	0	0	0	15	65	0	63	0
Minute Maid Tropic Twist Slushie (Medium)	230	0	0	0	0	30	62	0	59	0
Minute Maid Tropic Twist Slushie (Large)	330	0	0	0	0	45	87	0	83	0
Minute Maid Tropic Twist Slushie (Small)	180	0	0	0	0	25	49	0	47	0
Orange Crush (Large) No Ice	120	0	0	0	0	0	1	10	0	0
Mocha (Small)	340	12	7	0	35	140	49	2	45	9
Coffee (Small)	0	0	0	0	0	20	1	0	0	2
Iced Latte (Small)	120	6	3.5	0	20	85	10	0	9	6
Chocolate Shake (Small)	530	15	9	0.5	60	260	87	1	74	12
Vanilla Shake (Small)	490	14	9	0.5	60	230	79	0	59	11
Strawberry Shake (Small)	500	15	9	0.5	60	190	80	0	71	12
Iced Coffee (Small)	140	5	3.5	0	20	50	24	0	22	2
Mocha Caramel (Small)	310	11	7	0	35	230	44	0	40	9
Frappe Mocha (Small)	420	17	11	0.5	60	120	60	1	54	7
Frappe Caramel (Small)	420	18	11	1	65	125	60	0	55	7
Strawberry Banana Smoothie (Small)	190	0.5	0	0	5	40	44	2	39	2
Mango Pineapple Smoothie (Small)	200	0.5	0	0	5	35	45	1	42	2
Hot Chocolate (Small)	370	14	8	0	40	170	51	1	48	11
Caramel Cappuccino (Small)	210	5	3	0	15	300	35	0	32	6
Vanilla Cappuccino (Small)	190	5	3	0	15	70	30	0	29	6
Iced Caramel Latte (Small)	180	5	3	0	15	250	28	0	26	6
Iced French Vanilla Latte (Small)	190	6	3.5	0	20	85	28	0	26	7
Latte (Small)	140	8	4.5	0	25	100	12	0	11	7
Iced Mocha (Small)	290	11	7	0	35	120	40	1	36	7
Iced Caramel Mocha (Small)	280	11	6	0	35	180	37	0	32	7
Cappuccino (Small)	120	6	3.5	0	20	80	9	0	9	6
Mocha Caramel (Medium)	380	14	8	0	40	280	54	0	49	11
Mocha Caramel (Large)	460	17	10	0	50	350	64	0	59	14
Hot Chocolate (Medium)	450	17	10	0	50	210	63	2	58	14
Strawberry Banana Smoothie (Large)	330	1	0.5	0	5	70	76	4	68	4
Iced Coffee Caramel (Small)	140	5	3.5	0	20	220	23	0	20	3
Iced Coffee French Vanilla (Small)	120	5	3.5	0	20	50	19	0	17	2
Iced Coffee (Large)	260	9	6	0	35	90	45	0	42	3
Iced Coffee (Medium)	180	7	4.5	0	25	65	30	0	28	2
Hot Chocolate (Large)	540	20	12	0.5	60	280	73	1	68	17
Iced Mocha (Large)	490	17	10	0	50	210	71	2	65	13
Iced Mocha (Medium)	350	13	8	0	40	150	50	2	46	9
Mocha (Medium)	380	12	7	0	35	160	57	2	52	10
Mocha (Large)	500	17	10	0	50	220	72	2	66	15
Latte (Medium)	190	10	6	0	30	135	15	0	15	10
Latte Caramel (Small)	250	7	4	0	25	330	38	0	35	8
Latte French Vanilla (Small)	230	7	4	0	20	100	33	0	32	8
Espresso Americano Coffee (Small)	0	0	0	0	0	10	0	0	0	0
Latte Iced (Medium)	120	6	3.5	0	20	90	10	0	9	6
Caramel Macchiato (Small)	260	7	4	0	25	340	41	0	37	8
Iced Caramel Macchiato (Medium)	250	6	3.5	0	20	330	40	0	36	8
Latte Iced (Large)	170	9	5	0	30	125	14	0	13	9
Iced Caramel Macchiato (Large)	370	10	6	0	30	490	58	0	53	11
Iced Caramel Macchiato (Small)	210	6	3.5	0	20	260	32	0	29	6
Cold Brew Frappe (Small)	360	15	10	0.5	55	135	49	0	40	6
Cold Brew Frozen Coffee (Small)	290	11	7	0	40	120	41	0	34	6
Desserts & Shakes Baked Hot Apple Pie	240	11	6	0	0	95	35	4	16	2
Chocolate Chip Cookie	170	7	3.5	0	10	90	23	1	15	2
Oatmeal Raisin Cookie	140	5	2.5	0	10	125	22	1	12	2
Chocolate Shake (Medium)	630	17	11	1	70	310	104	1	89	14
Chocolate Shake (Large)	840	22	14	1	90	420	142	1	122	19
Vanilla Cone	200	5	3.5	0	20	80	32	0	24	5
Kiddie Cone	45	1	0.5	0	5	20	8	0	6	1
Hot Fudge Sundae	380	14	8	0	25	180	53	3	47	10
Hot Caramel Sundae	380	12	6	0	30	160	61	1	44	9
Strawberry Sundae	320	10	4.5	0	25	95	50	1	45	8
McFlurry with M&M'S Chocolate Candies	630	22	14	0.5	50	200	96	2	86	13
McFlurry with Oreo Cookies	510	17	9	0.5	45	280	80	1	64	12
Chocolate Shake (Small)	530	15	9	0.5	60	260	87	1	74	12
Vanilla Shake (Small)	490	14	9	0.5	60	230	79	0	59	11
Strawberry Shake (Small)	500	15	9	0.5	60	190	80	0	71	12
Egg Nog Shake (Small)	450	13	8	0.5	55	160	74	0	63	10
Strawberry & Crème Pie	290	15	9	0	10	160	34	2	13	3
Sugar Cookie	150	7	3	0	10	115	21	0	11	2
Shamrock Shake (Small)	460	13	8	0.5	55	150	74	0	63	10
McFlurry with M&M'S Chocolate Candies (Snack Size)	420	15	9	0	35	130	64	1	58	9
McFlurry with Oreo Cookies (Snack Size)	340	11	6	0	30	180	53	0	42	8
Strawberry Shake (Medium)	590	18	11	1	70	230	95	0	84	14
Strawberry Shake (Large)	800	23	14	1	95	310	130	0	115	19
Vanilla Shake (Medium)	590	17	11	1	70	270	96	0	72	13
Vanilla Shake (Large)	800	22	14	1	90	370	131	0	99	18
Egg Nog Shake (Medium)	560	16	10	1	65	200	91	0	78	12
Egg Nog Shake (Large)	800	22	14	1	90	290	132	0	114	19
Shamrock Shake (Medium)	560	16	10	1	65	190	91	0	78	12
Shamrock Shake (Large)	800	22	14	1	90	290	131	0	113	19
McFlurry with Reese's Peanut Butter Cup	610	24	11	0.5	45	320	86	2	76	16
Sweet Potato and Creme Pie	290	16	9	0	10	170	32	1	13	3
Pumpkin and Creme Pie	280	16	9	0	10	170	31	1	13	3
McFlurry with Twix	640	17	10	0.5	45	460	107	1	89	13
McFlurry with Twix (Snack Size)	460	12	7	0	30	380	80	0	67	9
Twist Cone	160	4	2.5	0	15	55	26	1	19	4
Mint Chocolate Chip Ice Cream (1 scoop)	330	19	12	0	40	90	34	1	21	5
Fried Coconut (Haupia) Pie	270	17	6	0	0	220	29	1	7	2
Chocolate Ice Cream (1 scoop)	260	15	9	0	40	80	30	1	19	5
Chocolate Cone (Large)	330	9	6	0	35	105	53	2	43	9
Peaches and Creme Pie	300	16	9	0	15	150	36	1	14	3
Plain Sundae	210	6	4	0	25	85	32	0	28	6
Waffle Cone Sundae With Fudge Topping	430	12	8	0	30	210	73	3	51	9
Udderly Chocolate Ice Cream (1 scoop)	320	17	11	0	40	115	37	1	26	5
Orange Sherbet (1 scoop)	190	3	2	0	5	35	42	0	23	2
Vanilla Bean Ice Cream (1 scoop)	290	17	11	0	45	100	30	0	17	5
Fried Taro Pie	240	11	3	0	0	120	34	2	11	2
Marionberry Pie Ice Cream (1 scoop)	300	17	10	0	55	75	33	0	30	5
Chocolate Cone	180	4.5	3	0	15	55	29	1	22	5
Caramel Butter Pecan Ice Cream (1 scoop)	330	20	10	0	40	125	34	1	23	5
Guava and Creme Pie	290	15	9	0	10	140	35	2	14	3
Vanilla Cone (Large)	300	8	5	0	35	125	48	0	39	8
Twist Cone (Large)	300	8	5	0	30	110	48	1	39	8
Oregon Strawberry Ice Cream (1 scoop no cone)	280	16	10	0	40	90	37	1	18	5
Turtle Brownie Sundae	620	23	12	0.5	50	300	93	3	70	10
Chocolate Peanut Butter Ice Cream (1 scoop)	340	21	11	0	40	140	35	2	18	6
McFlurry with Kit Kat (Regular)	680	25	17	0.5	50	260	101	2	87	15
Strawberry Shortcake Sundae	390	12	6	0	50	180	65	1	54	7
Birthday Cake Dipped Cone	270	12	9	0	15	90	35	0	27	5
Coffee Almond Fudge Ice Cream (1 scoop)	160	18	10	0	40	105	32	1	22	5
Cookie Dough Ice Cream (1 scoop)	330	17	11	0	40	125	40	1	29	5
Caramel Sundae Waffle Cone	420	8	5	0	30	190	78	1	50	8
Hot Fudge Sundae Compostable Packaging	330	13	7	0	20	160	46	3	40	8
Cinnamon Coffee Cake Muffin	450	19	4.5	0	40	380	67	2	39	4
Tuxedo Coffee Cake	170	8	2.5	0	30	135	21	1	12	2
Fried Guava Pie	210	7	3	0	0	140	35	1	16	2
Mixed Berry and Lemon Creme Pie	290	16	9	0	15	170	35	2	13	3
Chocolate Dipped Twist Ice Cream Cone	310	11	9	0	20	80	41	1	32	6
Chocolate Dipped Chocolate Ice Cream Cone	310	11	9	0	20	75	42	2	33	6
Baked Cherry and Creme Pie	290	15	9	0	10	160	35	1	14	3
Oreo McFlurry Sandwich	670	26	13	0	50	370	99	2	71	12
M&M McFlurry Sandwich	750	29	16	0	55	320	110	3	87	13
Hot Caramel Sundae Compostable Packaging	340	10	5	0	25	140	54	1	38	7
Strawberry Sundae Compostable Packaging	270	80	13	18	20	6	3	14	3	6
Grape Jam	40	0	0	0	0	0	9	0	7	0
Strawberry Preserves	35	0	0	0	0	0	9	0	9	0
Sugar Packet	15	0	0	0	0	0	4	0	4	0
Calorie Sweetener	0	0	0	0	0	0	1	0	1	0
Splenda No Calorie Sweetener	0	0	0	0	0	0	1	0	1	0
Picante Sauce Packet (Hot)	0	0	0	0	0	140	1	0	0	0
Picante Sauce Packet (Mild)	0	0	0	0	0	130	1	0	0	0
Hot Mustard Sauce	60	2.5	0	0	5	230	8	1	6	1
Habanero Ranch Sauce	80	7	1	0	10	160	5	0	1	1
Ketchup Packet	10	0	0	0	0	90	2	0	2	0
Spicy Buffalo Sauce	30	3	0	0	0	510	1	0	0	0
Newman's Own Low Fat Balsamic Vinaigrette	35	2	0	0	0	400	4	0	3	0
Newman's Own Creamy Southwest Dressing	110	7	1.5	0	15	300	12	1	3	1
Newman's Own Low Fat Family Recipe Italian Dressing	50	1.5	0	0	0	380	8	1	2	0
Salt Packet	0	0	0	0	0	290	0	0	0	0
Honey	50	0	0	0	0	0	12	0	11	0
Newman's Own Ranch Dressing	190	16	2.5	0	20	500	11	1	4	1
